,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Occupation,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,Male (Sex),Total (Skill level),Angola Employment Survey,Labour force survey,,,,,3139,3352,,,,,,,
Angola,Male (Sex),Not elsewhere classified (Skill level),Angola Employment Survey,Labour force survey,,,,,543,576,,,,,,,
Angola,Female (Sex),Skill level 2 (medium) (Skill level),Angola Employment Survey,Labour force survey,,,,,2855,3084,,,,,,,
Angola,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Angola Employment Survey,Labour force survey,,,,,224,246,,,,,,,
Angola,Female (Sex),Total (Skill level),Angola Employment Survey,Labour force survey,,,,,3203,3417,,,,,,,
Angola,Female (Sex),Not elsewhere classified (Skill level),Angola Employment Survey,Labour force survey,,,,,124,87,,,,,,,
Angola,Total (Sex),Skill level 1 (low) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,523,,,,,,,
Angola,Total (Sex),Skill level 2 (medium) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,5352,,,,,,,
Angola,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,777,,,,,,,
Angola,Total (Sex),Total (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,6790,,,,,,,
Angola,Total (Sex),Not elsewhere classified (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,139,,,,,,,
Angola,Male (Sex),Skill level 1 (low) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,503,,,,,,,
Angola,Male (Sex),Skill level 2 (medium) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,2255,,,,,,,
Angola,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,531,,,,,,,
Angola,Male (Sex),Total (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3363,,,,,,,
Angola,Male (Sex),Not elsewhere classified (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,73,,,,,,,
Angola,Female (Sex),Skill level 1 (low) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,20,,,,,,,
Angola,Female (Sex),Skill level 2 (medium) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3096,,,,,,,
Angola,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,246,,,,,,,
Angola,Female (Sex),Total (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3428,,,,,,,
Angola,Female (Sex),Not elsewhere classified (Skill level),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,66,,,,,,,
Angola,Total (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,,,,3705,,,,
Angola,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,,,,595,,,,
Angola,Total (Sex),Total (Skill level),Population Census,Population census,,,,,,,,,5443,,,,
Angola,Total (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,,,,1142,,,,
Angola,Male (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,,,,1841,,,,
Angola,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,,,,404,,,,
Angola,Male (Sex),Total (Skill level),Population Census,Population census,,,,,,,,,3006,,,,
Angola,Male (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,,,,762,,,,
Angola,Female (Sex),Skill level 2 (medium) (Skill level),Population Census,Population census,,,,,,,,,1864,,,,
Angola,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Population Census,Population census,,,,,,,,,192,,,,
Angola,Female (Sex),Total (Skill level),Population Census,Population census,,,,,,,,,2437,,,,
Angola,Female (Sex),Not elsewhere classified (Skill level),Population Census,Population census,,,,,,,,,381,,,,
Argentina,Total (Sex),Skill level 1 (low) (Skill level),Permanent Household Survey (Urban),Labour force survey,1939,,1839,1880,1886,1838,1857,1710,1633,,,1409,
Argentina,Total (Sex),Skill level 2 (medium) (Skill level),Permanent Household Survey (Urban),Labour force survey,4511,,4797,4852,4889,5680,5736,5947,6157,,,4723,
Argentina,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Permanent Household Survey (Urban),Labour force survey,2307,,2555,2620,2644,2719,2699,2674,2577,,,2036,
Argentina,Total (Sex),Total (Skill level),Permanent Household Survey (Urban),Labour force survey,9926,,10280,10402,10532,10766,10844,10943,11047,,,11568,
Argentina,Total (Sex),Not elsewhere classified (Skill level),Permanent Household Survey (Urban),Labour force survey,1169,,1090,1050,1113,529,552,612,680,,,3401,
Argentina,Total (Sex),Skill level 1 (low) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,2804,2705,2846,2366,2469,,,,
Argentina,Total (Sex),Skill level 2 (medium) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,7226,8222,8443,9213,8923,,,,
Argentina,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,3559,3612,3673,3663,3420,,,,
Argentina,Total (Sex),Total (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,15134,15279,15663,16085,15674,,,,
Argentina,Total (Sex),Not elsewhere classified (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1546,740,701,844,862,,,,
Argentina,Male (Sex),Skill level 1 (low) (Skill level),Permanent Household Survey (Urban),Labour force survey,824,,763,784,796,784,779,691,670,,,642,
Argentina,Male (Sex),Skill level 2 (medium) (Skill level),Permanent Household Survey (Urban),Labour force survey,2932,,3112,3165,3221,3776,3830,3966,4065,,,2970,
Argentina,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Permanent Household Survey (Urban),Labour force survey,1231,,1370,1335,1365,1457,1391,1370,1293,,,1049,
Argentina,Male (Sex),Total (Skill level),Permanent Household Survey (Urban),Labour force survey,5754,,5997,6005,6148,6324,6333,6397,6440,,,6635,
Argentina,Male (Sex),Not elsewhere classified (Skill level),Permanent Household Survey (Urban),Labour force survey,768,,753,721,765,308,333,369,412,,,1974,
Argentina,Male (Sex),Skill level 1 (low) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1155,1153,1268,922,1009,,,,
Argentina,Male (Sex),Skill level 2 (medium) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,4862,5637,5706,6166,5946,,,,
Argentina,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1846,1917,1943,1897,1713,,,,
Argentina,Male (Sex),Total (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,8979,9159,9369,9513,9202,,,,
Argentina,Male (Sex),Not elsewhere classified (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1115,452,451,528,533,,,,
Argentina,Female (Sex),Skill level 1 (low) (Skill level),Permanent Household Survey (Urban),Labour force survey,1115,,1076,1096,1089,1054,1079,1019,963,,,767,
Argentina,Female (Sex),Skill level 2 (medium) (Skill level),Permanent Household Survey (Urban),Labour force survey,1580,,1685,1687,1668,1904,1905,1980,2093,,,1752,
Argentina,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Permanent Household Survey (Urban),Labour force survey,1076,,1185,1285,1280,1262,1308,1304,1284,,,987,
Argentina,Female (Sex),Total (Skill level),Permanent Household Survey (Urban),Labour force survey,4172,,4283,4397,4384,4441,4510,4546,4608,,,4933,
Argentina,Female (Sex),Not elsewhere classified (Skill level),Permanent Household Survey (Urban),Labour force survey,401,,337,329,348,221,219,242,269,,,1427,
Argentina,Female (Sex),Skill level 1 (low) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1648,1552,1578,1443,1460,,,,
Argentina,Female (Sex),Skill level 2 (medium) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,2364,2585,2736,3047,2977,,,,
Argentina,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,1713,1695,1729,1766,1706,,,,
Argentina,Female (Sex),Total (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,6156,6120,6294,6572,6471,,,,
Argentina,Female (Sex),Not elsewhere classified (Skill level),Annual Survey of Urban Households,Labour force survey,,,,,430,288,250,316,328,,,,
Armenia,Total (Sex),Skill level 1 (low) (Skill level),Household Labour Force Survey,Labour force survey,,,9,,,,,,66,76,70,80,
Armenia,Total (Sex),Skill level 2 (medium) (Skill level),Household Labour Force Survey,Labour force survey,,,501,,,,,,715,678,636,634,
Armenia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Household Labour Force Survey,Labour force survey,,,494,,,,,,352,319,300,297,
Armenia,Total (Sex),Total (Skill level),Household Labour Force Survey,Labour force survey,,,1008,,,,,,1134,1073,1006,1012,
Armenia,Total (Sex),Not elsewhere classified (Skill level),Household Labour Force Survey,Labour force survey,,,3,,,,,,,,,,
Armenia,Male (Sex),Skill level 1 (low) (Skill level),Household Labour Force Survey,Labour force survey,,,9,,,,,,36,43,37,43,
Armenia,Male (Sex),Skill level 2 (medium) (Skill level),Household Labour Force Survey,Labour force survey,,,294,,,,,,383,374,356,359,
Armenia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Household Labour Force Survey,Labour force survey,,,253,,,,,,170,146,135,128,
Armenia,Male (Sex),Total (Skill level),Household Labour Force Survey,Labour force survey,,,557,,,,,,589,562,528,530,
Armenia,Male (Sex),Not elsewhere classified (Skill level),Household Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Armenia,Female (Sex),Skill level 1 (low) (Skill level),Household Labour Force Survey,Labour force survey,,,,,,,,,30,33,33,38,
Armenia,Female (Sex),Skill level 2 (medium) (Skill level),Household Labour Force Survey,Labour force survey,,,207,,,,,,332,304,280,275,
Armenia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Household Labour Force Survey,Labour force survey,,,241,,,,,,182,173,166,169,
Armenia,Female (Sex),Total (Skill level),Household Labour Force Survey,Labour force survey,,,451,,,,,,544,510,478,482,
Armenia,Female (Sex),Not elsewhere classified (Skill level),Household Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Armenia,Total (Sex),Skill level 1 (low) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,79,,,,,
Armenia,Total (Sex),Skill level 2 (medium) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,711,,,,,
Armenia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,344,,,,,
Armenia,Total (Sex),Total (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,1164,,,,,
Armenia,Total (Sex),Not elsewhere classified (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,30,,,,,
Armenia,Male (Sex),Skill level 1 (low) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,45,,,,,
Armenia,Male (Sex),Skill level 2 (medium) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,371,,,,,
Armenia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,167,,,,,
Armenia,Male (Sex),Total (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,607,,,,,
Armenia,Male (Sex),Not elsewhere classified (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,25,,,,,
Armenia,Female (Sex),Skill level 1 (low) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,34,,,,,
Armenia,Female (Sex),Skill level 2 (medium) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,340,,,,,
Armenia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,176,,,,,
Armenia,Female (Sex),Total (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,556,,,,,
Armenia,Female (Sex),Not elsewhere classified (Skill level),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,5,,,,,
Armenia,Total (Sex),Skill level 1 (low) (Skill level),Population census,Population census,,,,,,62,,,,,,,
Armenia,Total (Sex),Skill level 2 (medium) (Skill level),Population census,Population census,,,,,,676,,,,,,,
Armenia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Population census,Population census,,,,,,284,,,,,,,
Armenia,Total (Sex),Total (Skill level),Population census,Population census,,,,,,1058,,,,,,,
Armenia,Total (Sex),Not elsewhere classified (Skill level),Population census,Population census,,,,,,35,,,,,,,
Armenia,Male (Sex),Skill level 1 (low) (Skill level),Population census,Population census,,,,,,39,,,,,,,
Armenia,Male (Sex),Skill level 2 (medium) (Skill level),Population census,Population census,,,,,,389,,,,,,,
Armenia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Population census,Population census,,,,,,130,,,,,,,
Armenia,Male (Sex),Total (Skill level),Population census,Population census,,,,,,588,,,,,,,
Armenia,Male (Sex),Not elsewhere classified (Skill level),Population census,Population census,,,,,,30,,,,,,,
Armenia,Female (Sex),Skill level 1 (low) (Skill level),Population census,Population census,,,,,,23,,,,,,,
Armenia,Female (Sex),Skill level 2 (medium) (Skill level),Population census,Population census,,,,,,286,,,,,,,
Armenia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Population census,Population census,,,,,,155,,,,,,,
Armenia,Female (Sex),Total (Skill level),Population census,Population census,,,,,,469,,,,,,,
Armenia,Female (Sex),Not elsewhere classified (Skill level),Population census,Population census,,,,,,6,,,,,,,
Aruba,Total (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,9,,,,9,,,,,,,
Aruba,Total (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,28,,,,24,,,,,,,
Aruba,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,15,,,,15,,,,,,,
Aruba,Total (Sex),Total (Skill level),Labour force survey,Labour force survey,,52,,,,48,,,,,,,
Aruba,Total (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,0,,,,0,,,,,,,
Aruba,Male (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,4,,,,4,,,,,,,
Aruba,Male (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,15,,,,12,,,,,,,
Aruba,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,8,,,,8,,,,,,,
Aruba,Male (Sex),Total (Skill level),Labour force survey,Labour force survey,,27,,,,24,,,,,,,
Aruba,Male (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,0,,,,0,,,,,,,
Aruba,Female (Sex),Skill level 1 (low) (Skill level),Labour force survey,Labour force survey,,5,,,,5,,,,,,,
Aruba,Female (Sex),Skill level 2 (medium) (Skill level),Labour force survey,Labour force survey,,13,,,,11,,,,,,,
Aruba,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour force survey,Labour force survey,,6,,,,7,,,,,,,
Aruba,Female (Sex),Total (Skill level),Labour force survey,Labour force survey,,24,,,,24,,,,,,,
Aruba,Female (Sex),Not elsewhere classified (Skill level),Labour force survey,Labour force survey,,,,,,0,,,,,,,
Aruba,Total (Sex),Skill level 1 (low) (Skill level),Population and Housing Census Aruba,Population census,,,,,7,,,,,,,,
Aruba,Total (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census Aruba,Population census,,,,,25,,,,,,,,
Aruba,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census Aruba,Population census,,,,,14,,,,,,,,
Aruba,Total (Sex),Total (Skill level),Population and Housing Census Aruba,Population census,,,,,47,,,,,,,,
Aruba,Total (Sex),Not elsewhere classified (Skill level),Population and Housing Census Aruba,Population census,,,,,0,,,,,,,,
Aruba,Male (Sex),Skill level 1 (low) (Skill level),Population and Housing Census Aruba,Population census,,,,,3,,,,,,,,
Aruba,Male (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census Aruba,Population census,,,,,13,,,,,,,,
Aruba,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census Aruba,Population census,,,,,8,,,,,,,,
Aruba,Male (Sex),Total (Skill level),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Male (Sex),Not elsewhere classified (Skill level),Population and Housing Census Aruba,Population census,,,,,0,,,,,,,,
Aruba,Female (Sex),Skill level 1 (low) (Skill level),Population and Housing Census Aruba,Population census,,,,,4,,,,,,,,
Aruba,Female (Sex),Skill level 2 (medium) (Skill level),Population and Housing Census Aruba,Population census,,,,,13,,,,,,,,
Aruba,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Population and Housing Census Aruba,Population census,,,,,7,,,,,,,,
Aruba,Female (Sex),Total (Skill level),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Female (Sex),Not elsewhere classified (Skill level),Population and Housing Census Aruba,Population census,,,,,0,,,,,,,,
Australia,Total (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,851,937,940,939,935,945,932,948,941,934,964,995,
Australia,Total (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,5017,5064,5187,5207,5221,5311,5317,5392,5422,5463,5501,5646,
Australia,Total (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,4219,4406,4568,4629,4835,4924,5075,5102,5198,5410,5533,5635,
Australia,Total (Sex),Total (Skill level),Labour Force Survey,Labour force survey,10088,10408,10695,10775,10991,11180,11324,11443,11561,11808,11999,12276,
Australia,Total (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,0,,0,,0,0,0,0,,0,0,0,
Australia,Male (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,558,621,625,624,628,631,621,637,625,635,663,663,
Australia,Male (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,2764,2798,2858,2829,2885,2930,2915,2958,2987,3006,2984,3101,
Australia,Male (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,2213,2296,2375,2406,2490,2530,2610,2597,2631,2700,2768,2777,
Australia,Male (Sex),Total (Skill level),Labour Force Survey,Labour force survey,5536,5716,5859,5858,6004,6090,6146,6193,6243,6341,6415,6541,
Australia,Male (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,0,,0,,0,0,,0,,0,0,0,
Australia,Female (Sex),Skill level 1 (low) (Skill level),Labour Force Survey,Labour force survey,293,316,315,315,307,315,311,311,316,300,301,331,
Australia,Female (Sex),Skill level 2 (medium) (Skill level),Labour Force Survey,Labour force survey,2252,2266,2329,2378,2336,2381,2402,2434,2435,2457,2518,2546,
Australia,Female (Sex),Skill levels 3 and 4 (high) (Skill level),Labour Force Survey,Labour force survey,2006,2110,2193,2223,2344,2394,2465,2505,2567,2710,2765,2859,
Australia,Female (Sex),Total (Skill level),Labour Force Survey,Labour force survey,4552,4692,4837,4917,4987,5089,5178,5250,5318,5467,5584,5736,
Australia,Female (Sex),Not elsewhere classified (Skill level),Labour Force Survey,Labour force survey,,,,,0,,0,0,,,0,,
Austria,Total (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,409,446,446,428,438,347,345,330,331,330,342,341,356
Austria,Total (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,1964,2024,2068,2033,2042,2162,2156,2127,2108,2124,2150,2139,2143
Austria,Total (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,1443,1442,1468,1507,1526,1534,1574,1637,1663,1684,1716,1770,1808
Austria,Total (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,3826,3924,3994,3982,4017,4052,4084,4105,4113,4148,4220,4260,4319
Austria,Total (Sex),Not elsewhere classified (Skill level),EU Labour Force Survey,Labour force survey,10,11,13,14,11,9,10,10,11,11,12,10,12
Austria,Male (Sex),Skill level 1 (low) (Skill level),EU Labour Force Survey,Labour force survey,174,198,199,189,195,133,128,122,126,121,131,140,141
Austria,Male (Sex),Skill level 2 (medium) (Skill level),EU Labour Force Survey,Labour force survey,1101,1123,1120,1085,1089,1170,1174,1171,1151,1156,1173,1164,1182
Austria,Male (Sex),Skill levels 3 and 4 (high) (Skill level),EU Labour Force Survey,Labour force survey,801,806,833,847,854,850,860,877,888,906,919,941,961
Austria,Male (Sex),Total (Skill level),EU Labour Force Survey,Labour force survey,2085,2138,2164,2133,2148,2162,2171,2180,2175,2194,2234,2254,2296
