"Downloaded on TUE, 21 MAY 2019 13:18 +0200 from ILOSTAT",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Dataset:,Annual data,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Country,Sex,Status in employment,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,Female (Sex),6. Workers not classifiable by status (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,7,,,,15,,,,,9,
Afghanistan,Female (Sex),Total (ICSE-93),Living Condition Survey,Household income/expenditure survey,,,2551,,,,1061,,,,,1378,
Albania,Total (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,410,447,477,505,451,419,415,431,446,,526,
Albania,Total (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,31,20,17,18,22,17,18,20,26,,36,
Albania,Total (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,333,321,329,335,322,286,246,250,291,,392,
Albania,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Labour Force Survey,Labour force survey,,,,,,,,,,,,0,
Albania,Total (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,203,335,321,308,364,411,346,336,324,,241,
Albania,Total (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,17,,,,,,,,0,
Albania,Total (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,978,1123,1161,1167,1159,1134,1024,1037,1087,,1195,
Albania,Male (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,256,280,309,320,273,258,242,247,247,,287,
Albania,Male (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,28,17,15,16,16,12,13,18,21,,28,
Albania,Male (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,256,235,231,242,216,203,170,175,214,,262,
Albania,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Labour Force Survey,Labour force survey,,,,,,,,,,,,0,
Albania,Male (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,65,91,103,91,143,160,138,147,138,,102,
Albania,Male (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,5,,,,,,,,0,
Albania,Male (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,606,623,663,670,648,633,563,586,621,,679,
Albania,Female (Sex),1. Employees (ICSE-93),Labour Force Survey,Labour force survey,,154,167,168,185,179,161,172,184,198,,240,
Albania,Female (Sex),2. Employers (ICSE-93),Labour Force Survey,Labour force survey,,3,3,2,2,6,5,5,2,5,,8,
Albania,Female (Sex),3. Own-account workers (ICSE-93),Labour Force Survey,Labour force survey,,77,87,97,93,106,84,76,75,78,,131,
Albania,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Labour Force Survey,Labour force survey,,,,,,,,,,,,0,
Albania,Female (Sex),5. Contributing family workers (ICSE-93),Labour Force Survey,Labour force survey,,138,244,218,217,221,251,208,189,185,,138,
Albania,Female (Sex),6. Workers not classifiable by status (ICSE-93),Labour Force Survey,Labour force survey,,,,12,,,,,,,,0,
Albania,Female (Sex),Total (ICSE-93),Labour Force Survey,Labour force survey,,372,500,497,497,511,500,461,451,466,,516,
Algeria,Total (Sex),1. Employees (ICSE-93),Household Employment Survey,Labour force survey,,,3198,3136,3208,6434,,7440,3640,,,7413,
Algeria,Total (Sex),2. Employers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,330,,443,432,,,502,
Algeria,Total (Sex),3. Own-account workers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,2633,,2674,2379,,,2735,
Algeria,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Household Employment Survey,Labour force survey,,,,,,,,,3623,,,,
Algeria,Total (Sex),5. Contributing family workers (ICSE-93),Household Employment Survey,Labour force survey,,,477,473,404,202,,231,165,,,209,
Algeria,Total (Sex),Total (ICSE-93),Household Employment Survey,Labour force survey,,,9146,9472,9735,9599,,10788,10239,,,10858,
Algeria,Male (Sex),1. Employees (ICSE-93),Household Employment Survey,Labour force survey,,,2630,2569,2679,5273,,6036,2937,,,5949,
Algeria,Male (Sex),2. Employers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,307,,408,409,,,461,
Algeria,Male (Sex),3. Own-account workers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,2291,,2265,2040,,,2321,
Algeria,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Household Employment Survey,Labour force survey,,,,,,,,,2993,,,,
Algeria,Male (Sex),5. Contributing family workers (ICSE-93),Household Employment Survey,Labour force survey,,,363,397,278,168,,176,137,,,162,
Algeria,Male (Sex),Total (ICSE-93),Household Employment Survey,Labour force survey,,,7718,8025,8261,8038,,8885,8517,,,8893,
Algeria,Female (Sex),1. Employees (ICSE-93),Household Employment Survey,Labour force survey,,,568,567,529,1161,,1403,703,,,1464,
Algeria,Female (Sex),2. Employers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,23,,36,23,,,41,
Algeria,Female (Sex),3. Own-account workers (ICSE-93),Household Employment Survey,Labour force survey,,,,,,343,,409,338,,,414,
Algeria,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Household Employment Survey,Labour force survey,,,,,,,,,630,,,,
Algeria,Female (Sex),5. Contributing family workers (ICSE-93),Household Employment Survey,Labour force survey,,,114,77,125,34,,56,28,,,47,
Algeria,Female (Sex),Total (ICSE-93),Household Employment Survey,Labour force survey,,,1428,1447,1474,1561,,1904,1722,,,1965,
American Samoa,Total (Sex),1. Employees (ICSE-93),Census for American Samoa,Population census,,,,,16,,,,,,,,
American Samoa,Total (Sex),3. Own-account workers (ICSE-93),Census for American Samoa,Population census,,,,,1,,,,,,,,
American Samoa,Total (Sex),Total (ICSE-93),Census for American Samoa,Population census,,,,,17,,,,,,,,
Angola,Total (Sex),1. Employees (ICSE-93),Angola Employment Survey,Labour force survey,,,,,923,926,,,,,,,
Angola,Total (Sex),2. Employers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,1107,1252,,,,,,,
Angola,Total (Sex),3. Own-account workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,3362,1448,,,,,,,
Angola,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Angola Employment Survey,Labour force survey,,,,,23,14,,,,,,,
Angola,Total (Sex),5. Contributing family workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,,2408,,,,,,,
Angola,Total (Sex),6. Workers not classifiable by status (ICSE-93),Angola Employment Survey,Labour force survey,,,,,927,721,,,,,,,
Angola,Total (Sex),Total (ICSE-93),Angola Employment Survey,Labour force survey,,,,,6342,6769,,,,,,,
Angola,Male (Sex),1. Employees (ICSE-93),Angola Employment Survey,Labour force survey,,,,,662,664,,,,,,,
Angola,Male (Sex),2. Employers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,772,861,,,,,,,
Angola,Male (Sex),3. Own-account workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,1405,538,,,,,,,
Angola,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Angola Employment Survey,Labour force survey,,,,,19,11,,,,,,,
Angola,Male (Sex),5. Contributing family workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,,968,,,,,,,
Angola,Male (Sex),6. Workers not classifiable by status (ICSE-93),Angola Employment Survey,Labour force survey,,,,,281,310,,,,,,,
Angola,Male (Sex),Total (ICSE-93),Angola Employment Survey,Labour force survey,,,,,3139,3352,,,,,,,
Angola,Female (Sex),1. Employees (ICSE-93),Angola Employment Survey,Labour force survey,,,,,260,262,,,,,,,
Angola,Female (Sex),2. Employers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,334,391,,,,,,,
Angola,Female (Sex),3. Own-account workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,1957,910,,,,,,,
Angola,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Angola Employment Survey,Labour force survey,,,,,4,3,,,,,,,
Angola,Female (Sex),5. Contributing family workers (ICSE-93),Angola Employment Survey,Labour force survey,,,,,,1440,,,,,,,
Angola,Female (Sex),6. Workers not classifiable by status (ICSE-93),Angola Employment Survey,Labour force survey,,,,,647,411,,,,,,,
Angola,Female (Sex),Total (ICSE-93),Angola Employment Survey,Labour force survey,,,,,3203,3417,,,,,,,
Angola,Total (Sex),1. Employees (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,1894,,,,,,,
Angola,Total (Sex),2. Employers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,284,,,,,,,
Angola,Total (Sex),3. Own-account workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3864,,,,,,,
Angola,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,14,,,,,,,
Angola,Total (Sex),5. Contributing family workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,734,,,,,,,
Angola,Total (Sex),Total (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,6790,,,,,,,
Angola,Male (Sex),1. Employees (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,1327,,,,,,,
Angola,Male (Sex),2. Employers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,198,,,,,,,
Angola,Male (Sex),3. Own-account workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,1508,,,,,,,
Angola,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,11,,,,,,,
Angola,Male (Sex),5. Contributing family workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,319,,,,,,,
Angola,Male (Sex),Total (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3363,,,,,,,
Angola,Female (Sex),1. Employees (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,567,,,,,,,
Angola,Female (Sex),2. Employers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,86,,,,,,,
Angola,Female (Sex),3. Own-account workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,2356,,,,,,,
Angola,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3,,,,,,,
Angola,Female (Sex),5. Contributing family workers (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,415,,,,,,,
Angola,Female (Sex),Total (ICSE-93),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3428,,,,,,,
Angola,Total (Sex),1. Employees (ICSE-93),Population Census,Population census,,,,,,,,,799,,,,
Angola,Total (Sex),2. Employers (ICSE-93),Population Census,Population census,,,,,,,,,1358,,,,
Angola,Total (Sex),3. Own-account workers (ICSE-93),Population Census,Population census,,,,,,,,,2844,,,,
Angola,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Population Census,Population census,,,,,,,,,31,,,,
Angola,Total (Sex),5. Contributing family workers (ICSE-93),Population Census,Population census,,,,,,,,,303,,,,
Angola,Total (Sex),6. Workers not classifiable by status (ICSE-93),Population Census,Population census,,,,,,,,,107,,,,
Angola,Total (Sex),Total (ICSE-93),Population Census,Population census,,,,,,,,,5443,,,,
Angola,Male (Sex),1. Employees (ICSE-93),Population Census,Population census,,,,,,,,,570,,,,
Angola,Male (Sex),2. Employers (ICSE-93),Population Census,Population census,,,,,,,,,975,,,,
Angola,Male (Sex),3. Own-account workers (ICSE-93),Population Census,Population census,,,,,,,,,1277,,,,
Angola,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Population Census,Population census,,,,,,,,,19,,,,
Angola,Male (Sex),5. Contributing family workers (ICSE-93),Population Census,Population census,,,,,,,,,133,,,,
Angola,Male (Sex),6. Workers not classifiable by status (ICSE-93),Population Census,Population census,,,,,,,,,31,,,,
Angola,Male (Sex),Total (ICSE-93),Population Census,Population census,,,,,,,,,3006,,,,
Angola,Female (Sex),1. Employees (ICSE-93),Population Census,Population census,,,,,,,,,229,,,,
Angola,Female (Sex),2. Employers (ICSE-93),Population Census,Population census,,,,,,,,,383,,,,
Angola,Female (Sex),3. Own-account workers (ICSE-93),Population Census,Population census,,,,,,,,,1567,,,,
Angola,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Population Census,Population census,,,,,,,,,12,,,,
Angola,Female (Sex),5. Contributing family workers (ICSE-93),Population Census,Population census,,,,,,,,,170,,,,
Angola,Female (Sex),6. Workers not classifiable by status (ICSE-93),Population Census,Population census,,,,,,,,,76,,,,
Angola,Female (Sex),Total (ICSE-93),Population Census,Population census,,,,,,,,,2437,,,,
Argentina,Total (Sex),1. Employees (ICSE-93),Permanent Household Survey (Urban),Labour force survey,7509,7770,7845,7901,8051,8278,8349,8366,8434,,,8637,
Argentina,Total (Sex),2. Employers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,406,454,471,463,475,482,430,423,384,,,444,
Argentina,Total (Sex),3. Own-account workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,1912,1856,1890,1963,1924,1927,2004,2095,2165,,,2420,
Argentina,Total (Sex),5. Contributing family workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,98,96,74,75,83,77,60,59,64,,,68,
Argentina,Total (Sex),6. Workers not classifiable by status (ICSE-93),Permanent Household Survey (Urban),Labour force survey,,,,,,2,,,,,,,
Argentina,Total (Sex),Total (ICSE-93),Permanent Household Survey (Urban),Labour force survey,9926,10176,10280,10402,10532,10766,10844,10943,11047,,,11568,
Argentina,Total (Sex),1. Employees (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,11439,11564,11935,12108,11751,,,,
Argentina,Total (Sex),2. Employers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,754,709,650,686,595,,,,
Argentina,Total (Sex),3. Own-account workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,2788,2890,2974,3188,3198,,,,
Argentina,Total (Sex),5. Contributing family workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,153,115,103,103,129,,,,
Argentina,Total (Sex),6. Workers not classifiable by status (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,,,,,,,,,
Argentina,Total (Sex),Total (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,15134,15279,15663,16085,15674,,,,
Argentina,Male (Sex),1. Employees (ICSE-93),Permanent Household Survey (Urban),Labour force survey,4166,4355,4388,4381,4518,4669,4686,4692,4727,,,4764,
Argentina,Male (Sex),2. Employers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,307,345,348,331,347,365,310,311,279,,,322,
Argentina,Male (Sex),3. Own-account workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,1250,1217,1239,1269,1255,1264,1314,1371,1413,,,1529,
Argentina,Male (Sex),5. Contributing family workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,32,35,23,24,28,25,21,23,21,,,20,
Argentina,Male (Sex),6. Workers not classifiable by status (ICSE-93),Permanent Household Survey (Urban),Labour force survey,,,,,,,,,,,,,
Argentina,Male (Sex),Total (ICSE-93),Permanent Household Survey (Urban),Labour force survey,5754,5953,5997,6005,6148,6324,6333,6397,6440,,,6635,
Argentina,Male (Sex),1. Employees (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,6527,6662,6856,6776,6581,,,,
Argentina,Male (Sex),2. Employers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,570,535,476,518,444,,,,
Argentina,Male (Sex),3. Own-account workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,1821,1918,1995,2185,2131,,,,
Argentina,Male (Sex),5. Contributing family workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,60,43,42,35,46,,,,
Argentina,Male (Sex),6. Workers not classifiable by status (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,,,,,,,,,
Argentina,Male (Sex),Total (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,8979,9159,9369,9513,9202,,,,
Argentina,Female (Sex),1. Employees (ICSE-93),Permanent Household Survey (Urban),Labour force survey,3343,3415,3457,3520,3533,3609,3663,3674,3707,,,3872,
Argentina,Female (Sex),2. Employers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,100,109,123,132,128,117,120,112,105,,,122,
Argentina,Female (Sex),3. Own-account workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,663,638,651,694,669,663,689,724,752,,,891,
Argentina,Female (Sex),5. Contributing family workers (ICSE-93),Permanent Household Survey (Urban),Labour force survey,66,61,51,51,54,52,38,36,43,,,48,
Argentina,Female (Sex),6. Workers not classifiable by status (ICSE-93),Permanent Household Survey (Urban),Labour force survey,,,,,,,,,,,,,
Argentina,Female (Sex),Total (ICSE-93),Permanent Household Survey (Urban),Labour force survey,4172,4223,4283,4397,4384,4441,4510,4546,4608,,,4933,
Argentina,Female (Sex),1. Employees (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,4912,4902,5079,5332,5170,,,,
Argentina,Female (Sex),2. Employers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,184,174,175,169,151,,,,
Argentina,Female (Sex),3. Own-account workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,967,972,979,1003,1067,,,,
Argentina,Female (Sex),5. Contributing family workers (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,93,71,61,68,83,,,,
Argentina,Female (Sex),Total (ICSE-93),Annual Survey of Urban Households,Labour force survey,,,,,6156,6120,6294,6572,6471,,,,
Armenia,Total (Sex),1. Employees (ICSE-93),Household Labour Force Survey,Labour force survey,,,616,,,,,,633,613,584,603,
Armenia,Total (Sex),2. Employers (ICSE-93),Household Labour Force Survey,Labour force survey,,,12,,,,,,16,10,10,12,
Armenia,Total (Sex),3. Own-account workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,261,,,,,,398,371,351,372,
Armenia,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,0,,,,
Armenia,Total (Sex),5. Contributing family workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,119,,,,,,86,79,60,23,
Armenia,Total (Sex),6. Workers not classifiable by status (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,0,,,,
Armenia,Total (Sex),Total (ICSE-93),Household Labour Force Survey,Labour force survey,,,1008,,,,,,1134,1073,1006,1012,
Armenia,Male (Sex),1. Employees (ICSE-93),Household Labour Force Survey,Labour force survey,,,347,,,,,,336,322,302,310,
Armenia,Male (Sex),2. Employers (ICSE-93),Household Labour Force Survey,Labour force survey,,,11,,,,,,13,8,9,10,
Armenia,Male (Sex),3. Own-account workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,157,,,,,,208,207,199,202,
Armenia,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Armenia,Male (Sex),5. Contributing family workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,42,,,,,,32,25,19,7,
Armenia,Male (Sex),6. Workers not classifiable by status (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,0,,,,
Armenia,Male (Sex),Total (ICSE-93),Household Labour Force Survey,Labour force survey,,,557,,,,,,589,562,528,530,
Armenia,Female (Sex),1. Employees (ICSE-93),Household Labour Force Survey,Labour force survey,,,269,,,,,,297,292,282,293,
Armenia,Female (Sex),2. Employers (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,3,2,2,3,
Armenia,Female (Sex),3. Own-account workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,104,,,,,,190,163,152,170,
Armenia,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,0,,,,
Armenia,Female (Sex),5. Contributing family workers (ICSE-93),Household Labour Force Survey,Labour force survey,,,77,,,,,,54,54,42,16,
Armenia,Female (Sex),6. Workers not classifiable by status (ICSE-93),Household Labour Force Survey,Labour force survey,,,,,,,,,,,,,
Armenia,Female (Sex),Total (ICSE-93),Household Labour Force Survey,Labour force survey,,,451,,,,,,544,510,478,482,
Armenia,Total (Sex),1. Employees (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,690,687,655,674,653,664,666,663,653,669,685,
Armenia,Total (Sex),2. Employers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,6,5,6,6,8,6,5,10,5,3,7,
Armenia,Total (Sex),3. Own-account workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,424,348,290,326,350,334,350,358,343,346,364,
Armenia,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,,,,,,
Armenia,Total (Sex),5. Contributing family workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,67,142,201,180,165,169,143,146,153,149,119,
Armenia,Total (Sex),6. Workers not classifiable by status (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1,1,,,,,,3,2,1,,
Armenia,Total (Sex),Total (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1188,1183,1153,1185,1175,1174,1164,1180,1155,1168,1176,
Armenia,Male (Sex),1. Employees (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,407,407,373,402,362,361,376,357,364,356,375,
Armenia,Male (Sex),2. Employers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,6,4,6,5,6,5,5,8,4,3,6,
Armenia,Male (Sex),3. Own-account workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,220,186,171,177,185,184,187,196,184,198,198,
Armenia,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,,,,,,
Armenia,Male (Sex),5. Contributing family workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,21,46,68,60,58,55,40,45,45,44,37,
Armenia,Male (Sex),6. Workers not classifiable by status (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1,,,,,,,1,1,,,
Armenia,Male (Sex),Total (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,655,645,617,645,611,605,607,608,598,602,616,
Armenia,Female (Sex),1. Employees (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,283,280,282,272,291,303,290,306,289,313,310,
Armenia,Female (Sex),2. Employers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1,1,0,1,2,2,,2,1,,2,
Armenia,Female (Sex),3. Own-account workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,204,162,120,149,165,150,163,162,159,148,165,
Armenia,Female (Sex),4. Members of producers' cooperatives (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,,,,,,,,,,,,
Armenia,Female (Sex),5. Contributing family workers (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,46,96,133,119,106,114,103,102,107,104,82,
Armenia,Female (Sex),6. Workers not classifiable by status (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1,,,,,,,1,,,,
Armenia,Female (Sex),Total (ICSE-93),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,534,538,536,540,564,569,556,573,557,566,559,
Armenia,Total (Sex),1. Employees (ICSE-93),Population census,Population census,,,,,,653,,,,,,,
Armenia,Total (Sex),2. Employers (ICSE-93),Population census,Population census,,,,,,9,,,,,,,
Armenia,Total (Sex),3. Own-account workers (ICSE-93),Population census,Population census,,,,,,242,,,,,,,
Armenia,Total (Sex),4. Members of producers' cooperatives (ICSE-93),Population census,Population census,,,,,,153,,,,,,,
Armenia,Total (Sex),5. Contributing family workers (ICSE-93),Population census,Population census,,,,,,0,,,,,,,
Armenia,Total (Sex),6. Workers not classifiable by status (ICSE-93),Population census,Population census,,,,,,1,,,,,,,
Armenia,Total (Sex),Total (ICSE-93),Population census,Population census,,,,,,1058,,,,,,,
Armenia,Male (Sex),1. Employees (ICSE-93),Population census,Population census,,,,,,382,,,,,,,
Armenia,Male (Sex),2. Employers (ICSE-93),Population census,Population census,,,,,,7,,,,,,,
Armenia,Male (Sex),3. Own-account workers (ICSE-93),Population census,Population census,,,,,,143,,,,,,,
Armenia,Male (Sex),4. Members of producers' cooperatives (ICSE-93),Population census,Population census,,,,,,55,,,,,,,
Armenia,Male (Sex),5. Contributing family workers (ICSE-93),Population census,Population census,,,,,,0,,,,,,,
Armenia,Male (Sex),6. Workers not classifiable by status (ICSE-93),Population census,Population census,,,,,,1,,,,,,,
Armenia,Male (Sex),Total (ICSE-93),Population census,Population census,,,,,,588,,,,,,,
Armenia,Female (Sex),1. Employees (ICSE-93),Population census,Population census,,,,,,271,,,,,,,
Armenia,Female (Sex),2. Employers (ICSE-93),Population census,Population census,,,,,,2,,,,,,,
