,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Country,Sex,Age,Education,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,Female (Sex),15-24 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,,,,,,0,1,1,0,,1,
Albania,Female (Sex),15-24 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,53,55,70,55,74,46,39,34,31,,35,
Albania,Female (Sex),15-64 (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,50,68,74,76,67,71,91,94,101,,119,
Albania,Female (Sex),15-64 (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,199,282,278,267,275,266,233,210,215,,231,
Albania,Female (Sex),15-64 (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,120,142,139,147,154,146,123,126,130,,143,
Albania,Female (Sex),15-64 (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,,2,2,,4,3,3,11,10,,7,
Albania,Female (Sex),15-64 (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,370,495,494,494,499,485,450,441,456,,500,
Albania,Female (Sex),15+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,50,68,74,77,67,71,91,94,101,,119,
Albania,Female (Sex),15+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,200,287,282,270,284,278,242,213,218,,240,
Albania,Female (Sex),15+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,120,143,139,147,154,147,124,127,130,,144,
Albania,Female (Sex),15+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,2,2,2,4,6,5,4,18,16,,13,
Albania,Female (Sex),15+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,372,500,497,497,511,500,461,451,466,,516,
Albania,Female (Sex),25+ (Age),Advanced (Aggregate levels),Labour Force Survey,Labour force survey,,43,63,63,67,57,64,85,85,92,,109,
Albania,Female (Sex),25+ (Age),Basic (Aggregate levels),Labour Force Survey,Labour force survey,,167,248,239,238,241,253,221,197,207,,231,
Albania,Female (Sex),25+ (Age),Intermediate (Aggregate levels),Labour Force Survey,Labour force survey,,108,133,123,134,135,132,113,118,121,,129,
Albania,Female (Sex),25+ (Age),Less than basic (Aggregate levels),Labour Force Survey,Labour force survey,,2,2,2,4,5,4,4,17,16,,12,
Albania,Female (Sex),25+ (Age),Total (Aggregate levels),Labour Force Survey,Labour force survey,,320,446,427,442,438,454,422,417,435,,481,
Algeria,Total (Sex),15-24 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,161,,,,314,,,134,
Algeria,Total (Sex),15-24 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1334,,,,172,,,839,
Algeria,Total (Sex),15-24 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,403,,,,762,,,345,
Algeria,Total (Sex),15-24 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,61,,,,11,,,22,
Algeria,Total (Sex),15-24 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1959,,,,1418,,,1339,
Algeria,Total (Sex),15-24 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,159,,,,
Algeria,Total (Sex),15-64 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1135,,,,2348,,,1878,
Algeria,Total (Sex),15-64 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,5135,,,,1675,,,5624,
Algeria,Total (Sex),15-64 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,2164,,,,3673,,,2488,
Algeria,Total (Sex),15-64 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1147,,,,761,,,729,
Algeria,Total (Sex),15-64 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,9580,,,,10157,,,10719,
Algeria,Total (Sex),15-64 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,1698,,,,
Algeria,Total (Sex),15+ (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1136,,,,2350,,,1886,
Algeria,Total (Sex),15+ (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,5182,,,,1688,,,5660,
Algeria,Total (Sex),15+ (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,2169,,,,3679,,,2495,
Algeria,Total (Sex),15+ (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1248,,,,817,,,817,
Algeria,Total (Sex),15+ (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,9735,,,,10239,,,10858,
Algeria,Total (Sex),15+ (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,1703,,,,
Algeria,Total (Sex),25+ (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,976,,,,2036,,,1752,
Algeria,Total (Sex),25+ (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,3848,,,,1516,,,4821,
Algeria,Total (Sex),25+ (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1766,,,,2917,,,2150,
Algeria,Total (Sex),25+ (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1186,,,,806,,,796,
Algeria,Total (Sex),25+ (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,7776,,,,8821,,,9519,
Algeria,Total (Sex),25+ (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,1544,,,,
Algeria,Male (Sex),15-24 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,95,,,,268,,,68,
Algeria,Male (Sex),15-24 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1210,,,,163,,,782,
Algeria,Male (Sex),15-24 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,340,,,,715,,,301,
Algeria,Male (Sex),15-24 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,48,,,,9,,,18,
Algeria,Male (Sex),15-24 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1693,,,,1239,,,1169,
Algeria,Male (Sex),15-24 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,84,,,,
Algeria,Male (Sex),15-64 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,726,,,,1901,,,1043,
Algeria,Male (Sex),15-64 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,4666,,,,1543,,,5121,
Algeria,Male (Sex),15-64 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1787,,,,3375,,,2022,
Algeria,Male (Sex),15-64 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,946,,,,647,,,583,
Algeria,Male (Sex),15-64 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,8124,,,,8440,,,8769,
Algeria,Male (Sex),15-64 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,975,,,,
Algeria,Male (Sex),15+ (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,727,,,,1903,,,1050,
Algeria,Male (Sex),15+ (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,4708,,,,1555,,,5155,
Algeria,Male (Sex),15+ (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1791,,,,3381,,,2027,
Algeria,Male (Sex),15+ (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1034,,,,700,,,661,
Algeria,Male (Sex),15+ (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,8261,,,,8517,,,8893,
Algeria,Male (Sex),15+ (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,980,,,,
Algeria,Male (Sex),25+ (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,633,,,,1635,,,982,
Algeria,Male (Sex),25+ (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,3498,,,,1392,,,4373,
Algeria,Male (Sex),25+ (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1451,,,,2666,,,1727,
Algeria,Male (Sex),25+ (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,986,,,,691,,,642,
Algeria,Male (Sex),25+ (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,6569,,,,7278,,,7724,
Algeria,Male (Sex),25+ (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,896,,,,
Algeria,Female (Sex),15-24 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,66,,,,46,,,66,
Algeria,Female (Sex),15-24 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,124,,,,9,,,58,
Algeria,Female (Sex),15-24 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,63,,,,46,,,44,
Algeria,Female (Sex),15-24 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,14,,,,2,,,4,
Algeria,Female (Sex),15-24 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,266,,,,179,,,171,
Algeria,Female (Sex),15-24 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,75,,,,
Algeria,Female (Sex),15-64 (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,409,,,,448,,,835,
Algeria,Female (Sex),15-64 (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,469,,,,133,,,503,
Algeria,Female (Sex),15-64 (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,377,,,,299,,,466,
Algeria,Female (Sex),15-64 (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,201,,,,115,,,146,
Algeria,Female (Sex),15-64 (Age),Total (Aggregate levels),Household Employment Survey,Labour force survey,,,,,1456,,,,1718,,,1950,
Algeria,Female (Sex),15-64 (Age),Level not stated (Aggregate levels),Household Employment Survey,Labour force survey,,,,,,,,,722,,,,
Algeria,Female (Sex),15+ (Age),Advanced (Aggregate levels),Household Employment Survey,Labour force survey,,,,,409,,,,448,,,837,
Algeria,Female (Sex),15+ (Age),Basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,474,,,,134,,,505,
Algeria,Female (Sex),15+ (Age),Intermediate (Aggregate levels),Household Employment Survey,Labour force survey,,,,,378,,,,299,,,467,
Algeria,Female (Sex),15+ (Age),Less than basic (Aggregate levels),Household Employment Survey,Labour force survey,,,,,213,,,,118,,,157,
