,,,,,,,,,,,,,,,,,
Country,Sex,Age,Survey,Type of Source,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,Male (Sex),25+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,2537,,,,,,,
Angola,Female (Sex),15-24 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,883,,,,,,,
Angola,Female (Sex),15-64 (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3286,,,,,,,
Angola,Female (Sex),15+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,3428,,,,,,,
Angola,Female (Sex),25+ (Age),Core Welfare Indicators Questionnaire,Household income/expenditure survey,,,,,,2544,,,,,,,
Angola,Total (Sex),15-24 (Age),Population Census,Population census,,,,,,,,,1033,,,,
Angola,Total (Sex),15-64 (Age),Population Census,Population census,,,,,,,,,5201,,,,
Angola,Total (Sex),15+ (Age),Population Census,Population census,,,,,,,,,5443,,,,
Angola,Total (Sex),25+ (Age),Population Census,Population census,,,,,,,,,4410,,,,
Angola,Male (Sex),15-24 (Age),Population Census,Population census,,,,,,,,,545,,,,
Angola,Male (Sex),15-64 (Age),Population Census,Population census,,,,,,,,,2881,,,,
Angola,Male (Sex),15+ (Age),Population Census,Population census,,,,,,,,,3006,,,,
Angola,Male (Sex),25+ (Age),Population Census,Population census,,,,,,,,,2461,,,,
Angola,Female (Sex),15-24 (Age),Population Census,Population census,,,,,,,,,489,,,,
Angola,Female (Sex),15-64 (Age),Population Census,Population census,,,,,,,,,2319,,,,
Angola,Female (Sex),15+ (Age),Population Census,Population census,,,,,,,,,2437,,,,
Angola,Female (Sex),25+ (Age),Population Census,Population census,,,,,,,,,1948,,,,
Antigua and Barbuda,Total (Sex),15+ (Age),Official Estimates,Official estimate,37,38,38,,,,,,,,,,
Antigua and Barbuda,Male (Sex),15+ (Age),Official Estimates,Official estimate,19,19,19,,,,,,,,,,
Antigua and Barbuda,Female (Sex),15+ (Age),Official Estimates,Official estimate,18,19,19,,,,,,,,,,
Argentina,Total (Sex),15-24 (Age),Permanent Household Survey (Urban),Labour force survey,1451,,1468,1416,1414,1413,1435,1418,1441,,,1402,
Argentina,Total (Sex),15-64 (Age),Permanent Household Survey (Urban),Labour force survey,9525,,9924,10021,10151,10378,10472,10563,10642,,,11016,
Argentina,Total (Sex),15+ (Age),Permanent Household Survey (Urban),Labour force survey,9926,10116,10280,10402,10532,10766,10844,10943,11047,,,11568,
Argentina,Total (Sex),25+ (Age),Permanent Household Survey (Urban),Labour force survey,8475,,8812,8986,9118,9353,9409,9525,9606,,,10166,
Argentina,Total (Sex),15-24 (Age),Annual Survey of Urban Households,Labour force survey,,,,,2100,2028,2215,2118,2051,,,,
Argentina,Total (Sex),15-64 (Age),Annual Survey of Urban Households,Labour force survey,,,,,14609,14720,15135,15507,15110,,,,
Argentina,Total (Sex),15+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,15134,15279,15663,16085,15674,,,,
Argentina,Total (Sex),25+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,13034,13251,13447,13967,13623,,,,
Argentina,Male (Sex),15-24 (Age),Permanent Household Survey (Urban),Labour force survey,884,,898,878,885,885,913,914,921,,,879,
Argentina,Male (Sex),15-64 (Age),Permanent Household Survey (Urban),Labour force survey,5509,,5769,5766,5908,6080,6095,6150,6174,,,6290,
Argentina,Male (Sex),15+ (Age),Permanent Household Survey (Urban),Labour force survey,5754,,5997,6005,6148,6324,6333,6397,6440,,,6635,
Argentina,Male (Sex),25+ (Age),Permanent Household Survey (Urban),Labour force survey,4870,,5099,5127,5262,5439,5420,5483,5519,,,5756,
Argentina,Male (Sex),15-24 (Age),Annual Survey of Urban Households,Labour force survey,,,,,1344,1297,1464,1373,1329,,,,
Argentina,Male (Sex),15-64 (Age),Annual Survey of Urban Households,Labour force survey,,,,,8648,8785,9013,9150,8816,,,,
Argentina,Male (Sex),15+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,8979,9159,9369,9513,9202,,,,
Argentina,Male (Sex),25+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,7634,7862,7905,8141,7873,,,,
Argentina,Female (Sex),15-24 (Age),Permanent Household Survey (Urban),Labour force survey,567,,570,538,529,527,522,504,521,,,523,
Argentina,Female (Sex),15-64 (Age),Permanent Household Survey (Urban),Labour force survey,4016,,4155,4255,4243,4298,4377,4413,4468,,,4726,
Argentina,Female (Sex),15+ (Age),Permanent Household Survey (Urban),Labour force survey,4172,,4283,4397,4384,4441,4510,4546,4608,,,4933,
Argentina,Female (Sex),25+ (Age),Permanent Household Survey (Urban),Labour force survey,3604,,3712,3859,3856,3914,3989,4042,4087,,,4410,
Argentina,Female (Sex),15-24 (Age),Annual Survey of Urban Households,Labour force survey,,,,,755,731,751,745,722,,,,
Argentina,Female (Sex),15-64 (Age),Annual Survey of Urban Households,Labour force survey,,,,,5961,5936,6122,6357,6294,,,,
Argentina,Female (Sex),15+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,6156,6120,6294,6572,6471,,,,
Argentina,Female (Sex),25+ (Age),Annual Survey of Urban Households,Labour force survey,,,,,5400,5389,5543,5827,5750,,,,
Armenia,Total (Sex),15-24 (Age),Household Labour Force Survey,Labour force survey,,,106,,,,,,105,109,79,75,
Armenia,Total (Sex),15-64 (Age),Household Labour Force Survey,Labour force survey,,,949,,,,,,1072,1007,943,943,
Armenia,Total (Sex),15+ (Age),Household Labour Force Survey,Labour force survey,,1189,1008,,,,,,1134,1073,1006,1012,
Armenia,Total (Sex),25+ (Age),Household Labour Force Survey,Labour force survey,,,902,,,,,,1029,964,927,937,
Armenia,Male (Sex),15-24 (Age),Household Labour Force Survey,Labour force survey,,,65,,,,,,62,63,51,45,
Armenia,Male (Sex),15-64 (Age),Household Labour Force Survey,Labour force survey,,,524,,,,,,556,526,494,494,
Armenia,Male (Sex),15+ (Age),Household Labour Force Survey,Labour force survey,,655,557,,,,,,589,562,528,530,
Armenia,Male (Sex),25+ (Age),Household Labour Force Survey,Labour force survey,,,492,,,,,,527,500,477,485,
Armenia,Female (Sex),15-24 (Age),Household Labour Force Survey,Labour force survey,,,41,,,,,,42,46,28,30,
Armenia,Female (Sex),15-64 (Age),Household Labour Force Survey,Labour force survey,,,425,,,,,,515,481,449,449,
Armenia,Female (Sex),15+ (Age),Household Labour Force Survey,Labour force survey,,534,451,,,,,,544,510,478,482,
Armenia,Female (Sex),25+ (Age),Household Labour Force Survey,Labour force survey,,,410,,,,,,502,464,450,452,
Armenia,Total (Sex),15-24 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,113,120,109,120,113,112,101,103,93,96,96,
Armenia,Total (Sex),15-64 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1074,1097,1071,1112,1091,1096,1088,1102,1073,1089,1086,
Armenia,Total (Sex),15+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1188,1183,1153,1185,1175,1174,1164,1180,1155,1168,1176,
Armenia,Total (Sex),25+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,1075,1063,1044,1065,1062,1062,1062,1077,1062,1072,1080,
Armenia,Male (Sex),15-24 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,75,77,67,76,69,68,61,61,54,58,57,
Armenia,Male (Sex),15-64 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,599,602,576,608,568,566,567,569,558,562,572,
Armenia,Male (Sex),15+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,655,645,617,645,611,605,607,608,598,602,616,
Armenia,Male (Sex),25+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,580,568,551,569,542,537,547,547,544,543,560,
Armenia,Female (Sex),15-24 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,38,43,42,44,44,43,41,42,39,38,39,
Armenia,Female (Sex),15-64 (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,475,494,494,504,523,530,521,534,515,527,514,
Armenia,Female (Sex),15+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,534,538,536,540,564,569,556,573,557,566,559,
Armenia,Female (Sex),25+ (Age),Households' Integrated Living Conditions Survey,Household income/expenditure survey,,496,495,493,496,520,525,516,531,518,528,520,
Armenia,Total (Sex),15-24 (Age),Population census,Population census,,,,,,121,,,,,,,
Armenia,Total (Sex),15-64 (Age),Population census,Population census,,,,,,1014,,,,,,,
Armenia,Total (Sex),15+ (Age),Population census,Population census,,,,,,1058,,,,,,,
Armenia,Total (Sex),25+ (Age),Population census,Population census,,,,,,936,,,,,,,
Armenia,Male (Sex),15-24 (Age),Population census,Population census,,,,,,69,,,,,,,
Armenia,Male (Sex),15-64 (Age),Population census,Population census,,,,,,565,,,,,,,
Armenia,Male (Sex),15+ (Age),Population census,Population census,,,,,,588,,,,,,,
Armenia,Male (Sex),25+ (Age),Population census,Population census,,,,,,519,,,,,,,
Armenia,Female (Sex),15-24 (Age),Population census,Population census,,,,,,52,,,,,,,
Armenia,Female (Sex),15-64 (Age),Population census,Population census,,,,,,449,,,,,,,
Armenia,Female (Sex),15+ (Age),Population census,Population census,,,,,,469,,,,,,,
Armenia,Female (Sex),25+ (Age),Population census,Population census,,,,,,417,,,,,,,
Armenia,Total (Sex),15+ (Age),Official Estimates,Official estimate,,1102,1118,,,,,,,,,,
Armenia,Male (Sex),15+ (Age),Official Estimates,Official estimate,,571,571,,,,,,,,,,
Armenia,Female (Sex),15+ (Age),Official Estimates,Official estimate,,530,547,,,,,,,,,,
Aruba,Total (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,4,,,,,,,
Aruba,Total (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,47,,,,,,,
Aruba,Total (Sex),15+ (Age),Labour force survey,Labour force survey,,52,,,,48,,,,,,,
Aruba,Total (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,44,,,,,,,
Aruba,Male (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,2,,,,,,,
Aruba,Male (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,24,,,,,,,
Aruba,Male (Sex),15+ (Age),Labour force survey,Labour force survey,,27,,,,24,,,,,,,
Aruba,Male (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,22,,,,,,,
Aruba,Female (Sex),15-24 (Age),Labour force survey,Labour force survey,,,,,,1,,,,,,,
Aruba,Female (Sex),15-64 (Age),Labour force survey,Labour force survey,,,,,,23,,,,,,,
Aruba,Female (Sex),15+ (Age),Labour force survey,Labour force survey,,24,,,,24,,,,,,,
Aruba,Female (Sex),25+ (Age),Labour force survey,Labour force survey,,,,,,22,,,,,,,
Aruba,Total (Sex),15-24 (Age),Population and Housing Census Aruba,Population census,,,,,3,,,,,,,,
Aruba,Total (Sex),15-64 (Age),Population and Housing Census Aruba,Population census,,,,,45,,,,,,,,
Aruba,Total (Sex),15+ (Age),Population and Housing Census Aruba,Population census,,,,,47,,,,,,,,
Aruba,Total (Sex),25+ (Age),Population and Housing Census Aruba,Population census,,,,,43,,,,,,,,
Aruba,Male (Sex),15-24 (Age),Population and Housing Census Aruba,Population census,,,,,2,,,,,,,,
Aruba,Male (Sex),15-64 (Age),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Male (Sex),15+ (Age),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Male (Sex),25+ (Age),Population and Housing Census Aruba,Population census,,,,,22,,,,,,,,
Aruba,Female (Sex),15-24 (Age),Population and Housing Census Aruba,Population census,,,,,1,,,,,,,,
Aruba,Female (Sex),15-64 (Age),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Female (Sex),15+ (Age),Population and Housing Census Aruba,Population census,,,,,23,,,,,,,,
Aruba,Female (Sex),25+ (Age),Population and Housing Census Aruba,Population census,,,,,22,,,,,,,,
Australia,Total (Sex),15-24 (Age),Labour Force Survey,Labour force survey,1803,1854,1910,1850,1843,1842,1833,1819,1801,1833,1844,1866,
Australia,Total (Sex),15-64 (Age),Labour Force Survey,Labour force survey,9918,10196,10471,10514,10705,10872,10972,11060,11124,11337,11516,11766,
Australia,Total (Sex),15+ (Age),Labour Force Survey,Labour force survey,10124,10434,10731,10806,11022,11214,11351,11457,11540,11766,11973,12252,
Australia,Total (Sex),25+ (Age),Labour Force Survey,Labour force survey,8322,8581,8821,8955,9179,9372,9517,9638,9739,9933,10129,10385,
Australia,Male (Sex),15-24 (Age),Labour Force Survey,Labour force survey,928,958,991,954,954,942,937,926,914,930,933,948,
Australia,Male (Sex),15-64 (Age),Labour Force Survey,Labour force survey,5415,5568,5702,5681,5814,5881,5918,5945,5967,6059,6122,6233,
Australia,Male (Sex),15+ (Age),Labour Force Survey,Labour force survey,5560,5732,5880,5879,6021,6108,6164,6201,6232,6327,6403,6529,
Australia,Male (Sex),25+ (Age),Labour Force Survey,Labour force survey,4631,4774,4889,4925,5068,5166,5226,5275,5318,5397,5470,5581,
Australia,Female (Sex),15-24 (Age),Labour Force Survey,Labour force survey,874,896,919,897,889,900,896,892,887,903,911,918,
Australia,Female (Sex),15-64 (Age),Labour Force Survey,Labour force survey,4503,4627,4769,4833,4892,4991,5055,5115,5157,5279,5394,5533,
Australia,Female (Sex),15+ (Age),Labour Force Survey,Labour force survey,4565,4702,4851,4926,5001,5106,5187,5256,5308,5439,5570,5723,
Australia,Female (Sex),25+ (Age),Labour Force Survey,Labour force survey,3690,3806,3932,4030,4112,4206,4291,4364,4422,4536,4659,4805,
Austria,Total (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,513,530,538,525,519,528,527,521,508,500,501,484,481
Austria,Total (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,3783,3864,3929,3909,3944,3982,4013,4030,4034,4068,4143,4185,4241
Austria,Total (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,3826,3924,3994,3982,4017,4052,4084,4105,4113,4148,4220,4260,4319
Austria,Total (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,3313,3393,3456,3458,3497,3524,3558,3584,3604,3648,3719,3777,3838
Austria,Male (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,272,279,284,274,277,282,280,277,265,264,265,251,254
Austria,Male (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,2058,2100,2122,2087,2103,2120,2129,2133,2126,2145,2187,2209,2248
Austria,Male (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,2085,2138,2164,2133,2148,2162,2171,2180,2175,2194,2234,2254,2296
Austria,Male (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1813,1859,1880,1860,1871,1880,1892,1903,1911,1930,1970,2003,2042
Austria,Female (Sex),15-24 (Age),EU Labour Force Survey,Labour force survey,242,251,255,251,242,246,247,244,244,236,237,232,227
Austria,Female (Sex),15-64 (Age),EU Labour Force Survey,Labour force survey,1725,1763,1807,1822,1840,1862,1885,1897,1908,1923,1956,1977,1993
Austria,Female (Sex),15+ (Age),EU Labour Force Survey,Labour force survey,1741,1786,1831,1849,1869,1890,1913,1925,1937,1954,1986,2006,2024
Austria,Female (Sex),25+ (Age),EU Labour Force Survey,Labour force survey,1499,1535,1576,1598,1627,1644,1666,1680,1694,1718,1749,1774,1797
Azerbaijan,Total (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,531,
Azerbaijan,Total (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,4782,
Azerbaijan,Total (Sex),15+ (Age),Labour Force Survey,Labour force survey,3986,4014,4198,4244,4308,4352,4403,4491,4568,4643,4722,4822,
Azerbaijan,Total (Sex),25+ (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,4291,
Azerbaijan,Male (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,289,
Azerbaijan,Male (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,2477,
Azerbaijan,Male (Sex),15+ (Age),Labour Force Survey,Labour force survey,2106,2021,,,,,,,,,,2503,
Azerbaijan,Male (Sex),25+ (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,2214,
Azerbaijan,Female (Sex),15-24 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,242,
Azerbaijan,Female (Sex),15-64 (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,2304,
Azerbaijan,Female (Sex),15+ (Age),Labour Force Survey,Labour force survey,1880,1994,,,,,,,,,,2319,
Azerbaijan,Female (Sex),25+ (Age),Labour Force Survey,Labour force survey,,,,,,,,,,,,2077,
Azerbaijan,Total (Sex),15+ (Age),Official Estimates,Official estimate,3973,4014,4056,,,,,,,,,,
Azerbaijan,Male (Sex),15+ (Age),Official Estimates,Official estimate,2054,2029,2048,,,,,,,,,,
Azerbaijan,Female (Sex),15+ (Age),Official Estimates,Official estimate,1919,1986,2008,,,,,,,,,,
Bahamas,Total (Sex),15-24 (Age),Labour Force & Household Survey,Labour force survey,,,,23,,22,22,,,,,,
Bahamas,Total (Sex),15-64 (Age),Labour Force & Household Survey,Labour force survey,,,,153,,159,158,,,,,,
Bahamas,Total (Sex),15+ (Age),Labour Force & Household Survey,Labour force survey,167,171,175,158,,163,165,164,,,,,
Bahamas,Total (Sex),25+ (Age),Labour Force & Household Survey,Labour force survey,,,,135,,141,143,,,,,,
Bahamas,Male (Sex),15-24 (Age),Labour Force & Household Survey,Labour force survey,,,,13,,13,12,,,,,,
Bahamas,Male (Sex),15-64 (Age),Labour Force & Household Survey,Labour force survey,,,,77,,79,78,,,,,,
Bahamas,Male (Sex),15+ (Age),Labour Force & Household Survey,Labour force survey,86,90,91,80,,81,82,83,,,,,
Bahamas,Male (Sex),25+ (Age),Labour Force & Household Survey,Labour force survey,,,,68,,69,70,,,,,,
Bahamas,Female (Sex),15-24 (Age),Labour Force & Household Survey,Labour force survey,,,,10,,9,10,,,,,,
Bahamas,Female (Sex),15-64 (Age),Labour Force & Household Survey,Labour force survey,,,,76,,79,80,,,,,,
Bahamas,Female (Sex),15+ (Age),Labour Force & Household Survey,Labour force survey,81,82,84,77,,81,83,81,,,,,
Bahamas,Female (Sex),25+ (Age),Labour Force & Household Survey,Labour force survey,,,,68,,72,73,,,,,,
Bahrain,Total (Sex),15-24 (Age),Population Census,Population census,,,,,72,,,,,,,,
Bahrain,Total (Sex),15-64 (Age),Population Census,Population census,,,,,697,,,,,,,,
Bahrain,Total (Sex),15+ (Age),Population Census,Population census,,,,,703,,,,,,,,
Bahrain,Total (Sex),25+ (Age),Population Census,Population census,,,,,631,,,,,,,,
Bahrain,Male (Sex),15-24 (Age),Population Census,Population census,,,,,53,,,,,,,,
Bahrain,Male (Sex),15-64 (Age),Population Census,Population census,,,,,553,,,,,,,,
Bahrain,Male (Sex),15+ (Age),Population Census,Population census,,,,,558,,,,,,,,
Bahrain,Male (Sex),25+ (Age),Population Census,Population census,,,,,505,,,,,,,,
Bahrain,Female (Sex),15-24 (Age),Population Census,Population census,,,,,19,,,,,,,,
Bahrain,Female (Sex),15-64 (Age),Population Census,Population census,,,,,144,,,,,,,,
Bahrain,Female (Sex),15+ (Age),Population Census,Population census,,,,,145,,,,,,,,
Bahrain,Female (Sex),25+ (Age),Population Census,Population census,,,,,127,,,,,,,,
Bahrain,Total (Sex),15-24 (Age),Estimates of Central informatics organization,Official estimate,,,,,,66,71,74,,74,,,
Bahrain,Total (Sex),15-64 (Age),Estimates of Central informatics organization,Official estimate,,,,,,657,685,710,,762,,,
Bahrain,Total (Sex),15+ (Age),Estimates of Central informatics organization,Official estimate,443,491,543,600,597,663,692,716,673,770,,,
Bahrain,Total (Sex),25+ (Age),Estimates of Central informatics organization,Official estimate,,,,,,597,620,643,,695,,,
Bahrain,Male (Sex),15-24 (Age),Estimates of Central informatics organization,Official estimate,,,,,,51,53,55,,55,,,
Bahrain,Male (Sex),15-64 (Age),Estimates of Central informatics organization,Official estimate,,,,,,522,542,554,,601,,,
Bahrain,Male (Sex),15+ (Age),Estimates of Central informatics organization,Official estimate,356,395,438,485,475,528,548,559,521,608,,,
Bahrain,Male (Sex),25+ (Age),Estimates of Central informatics organization,Official estimate,,,,,,477,495,505,,554,,,
Bahrain,Female (Sex),15-24 (Age),Estimates of Central informatics organization,Official estimate,,,,,,15,18,20,,20,,,
Bahrain,Female (Sex),15-64 (Age),Estimates of Central informatics organization,Official estimate,,,,,,134,143,150,,160,,,
Bahrain,Female (Sex),15+ (Age),Estimates of Central informatics organization,Official estimate,88,96,105,115,122,135,144,151,153,161,,,
Bahrain,Female (Sex),25+ (Age),Estimates of Central informatics organization,Official estimate,,,,,,120,125,131,,142,,,
